001;180;4.8;Semi
002;180;5.5;Semi
003;180;5;Semi
004;135;2.6;Semi
005;0;10;Semi
006;0;10;Semi
007;0;10;Semi
008;180;1;Semi
010;180;2.2;Semi
011;180;4.5;Semi
012;180;4.5;Semi
013;135;1.19;Semi
014;288;3;Semi
015;135;0.7;Semi
016;180;4;Semi
017;180;0.88;Semi
018;180;5;Semi
019;225;2.7;Semi
01A;0;7.5;Semi
01B;135;1;Semi
01C;135;1;Semi
01D;135;0.8;Semi
01G;135;1.9;Semi
01O;180;3.5;Semi
01U;180;3;Semi
020;180;1.3;Semi
022;180;2.6;Semi
023;180;6.46;Semi
024;180;3;Semi
025;180;2.6;Semi
026;180;3;Semi
027;180;2.6;Semi
029;180;2.6;Semi
02A;180;6;Semi
02B;135;1;Semi
02C;135;0.8;Semi
02D;180;0.6;Semi
02E;180;4.8;Semi
02G;135;2.4;Semi
02O;180;2.4;Semi
02U;180;3;Semi
030;180;2;Semi
032;180;3;Semi
033;135;1.1;Semi
034;180;4.8;Semi
035;135;1.3;Semi
036;135;1.23;Semi
037;225;2.7;Semi
038;180;4.8;Semi
039;180;4;Semi
03A;180;2.3;Semi
03B;135;1.3;Semi
03C;180;2.2;Semi
03D;180;0.6;Semi
03E;180;4;Semi
03O;180;2.8;Semi
03U;180;3;Semi
040;180;4.8;Semi
041;135;1.3;Semi
042;0;6.5;Semi
043;0;6.5;Semi
044;135;2.4;Semi
045;135;3;Semi
046;135;1.8;Semi
047;180;1.27;Semi
048;225;1.3;Semi
049;225;2.2;Semi
04A;135;4.5;Semi
04B;135;1.3;Semi
04C;135;2.62;Semi
04D;90;0.64;Semi
04E;180;1.8;Semi
04G;135;1.8;Semi
04U;180;3;Semi
050;225;2.2;Semi
051;135;3;Semi
052;135;1;Semi
053;135;1;Semi
055;135;1.9;Semi
056;225;3;Semi
059;135;1.5;Semi
05A;180;3.02;Semi
05B;135;1;Semi
05D;90;0.6;Semi
05E;0;15.24;Semi
05G;135;2.6;Semi
060;135;1.5;Semi
063;180;1.5;Semi
064;135;4.5;Semi
066;225;2.6;Semi
067;180;1.5;Semi
068;180;1.51;Semi
069;180;1.5;Semi
06A;180;1.63;Semi
06B;135;1;Semi
06D;90;0.8;Semi
06E;135;2.2;Semi
06G;135;2.6;Semi
070;180;1.6;Semi
071;180;1.8;Semi
072;180;2.2;Semi
073;135;2.6;Semi
074;180;3;Semi
075;180;3;Semi
076;180;1.8;Semi
078;135;1.1;Semi
07A;180;4.01;Semi
07B;180;1.3;Semi
07C;135;1.7;Semi
07D;90;0.8;Semi
07E;180;3.7;Semi
07G;180;2.6;Semi
080;0;2.2;Semi
081;0;2.2;Semi
082;180;1.6;Semi
083;0;2.2;Semi
084;0;2.2;Semi
085;135;1.8;Semi
086;135;1.1;Semi
087;135;1.1;Semi
08A;180;4.8;Semi
08B;180;1.3;Semi
08D;135;1.62;Semi
08E;135;2.2;Semi
08G;180;2.6;Semi
091;225;2.6;Semi
092;180;4.5;Semi
093;180;1.98;Semi
094;0;3.7;Semi
096;0;3.7;Semi
097;180;2.2;Semi
09A;180;6;Semi
09B;180;1.8;Semi
09D;135;7.73;Semi
09E;225;3.6;Semi
09G;180;3.6;Semi
100;135;1.8;Semi
101;0;5.08;Semi
102;0;6.03;Semi
103;180;1.8;Semi
104;180;3;Semi
105;180;2.22;Semi
107;135;1.79;Semi
108;135;1.87;Semi
109;180;2.2;Semi
10A;180;4.8;Semi
10B;180;1.8;Semi
10D;90;0.8;Semi
111;180;1.75;Semi
112;135;1.87;Semi
113;180;3.6;Semi
114;180;1.8;Semi
115;225;4;Semi
116;180;2.6;Semi
117;180;3.66;Semi
118;180;2.2;Semi
119;180;3.66;Semi
11A;180;3;Semi
11B;180;2;Semi
11C;135;3;Semi
11D;0;10.16;Semi
11G;180;2.8;Semi
120;0;10;Semi
121;0;18;Semi
122;180;7.5;Semi
123;0;10;Semi
124;135;2.07;Semi
125;0;3.6;Semi
126;0;3.6;Semi
127;180;2.2;Semi
128;288;3;Semi
129;0;3.6;Semi
12A;0;7.11;Semi
12B;180;2.5;Semi
12C;288;3;Semi
12D;90;0.64;Semi
12F;135;1.5;Semi
12G;135;3.18;Semi
132;180;4.8;Semi
134;135;1.1;Semi
135;135;2.1;Semi
136;180;4.8;Semi
137;135;1.6;Semi
138;180;4.8;Semi
139;135;1.9;Semi
13A;180;1.6;Semi
13B;180;2.6;Semi
13C;180;1.74;Semi
13D;135;0.64;Semi
13E;180;4.8;Semi
13G;135;2.6;Semi
140;0;0.7;Semi
141;135;2;Semi
142;0;0.8;Semi
143;180;3;Semi
144;180;3;Semi
145;180;2.22;Semi
146;135;1.7;Semi
147;135;1.6;Semi
148;135;1.3;Semi
149;135;1.3;Semi
14B;135;1.8;Semi
14C;135;2;Semi
14D;90;0.64;Semi
14E;0;2.43;Semi
14G;135;2;Semi
150;0;2;Semi
152;0;3.6;Semi
153;180;4.5;Semi
154;180;4;Semi
155;225;2.6;Semi
156;0;6.3;Semi
157;180;3.6;Semi
158;180;3.6;Semi
159;180;2.6;Semi
15A;0;6;Semi
15C;135;2;Semi
15D;90;0.64;Semi
15E;180;3.6;Semi
15F;0;6.5;Semi
15G;135;2.5;Semi
160;180;3.6;Semi
161;180;2.2;Semi
162;180;2.3;Semi
163;135;2.2;Semi
165;135;2.43;Semi
167;180;3.6;Semi
168;135;2.4;Semi
169;135;1.8;Semi
16A;0;6;Semi
16B;135;0.8;Semi
16C;135;2;Semi
16D;135;0.61;Semi
16E;135;1.87;Semi
16G;135;1.6;Semi
170;135;1.8;Semi
171;135;2.5;Semi
172;180;2.6;Semi
173;180;2.62;Semi
174;225;2.6;Semi
175;180;1.8;Semi
176;180;2.6;Semi
177;180;3.6;Semi
178;0;3.7;Semi
179;180;6;Semi
17A;135;2.97;Semi
17B;135;0.8;Semi
17C;0;1.9;Semi
17D;90;0.6;Semi
17E;180;2.3;Semi
17G;135;2;Semi
180;0;10;Semi
181;180;4.8;Semi
182;135;1.9;Semi
183;180;13;Semi
184;180;2.6;Semi
185;180;2.5;Semi
186;180;3;Semi
187;135;2.4;Semi
188;135;1;Semi
189;135;1.9;Semi
18A;0;6.5;Semi
18C;0;1.9;Semi
18D;0;15.2;Semi
18E;180;10;Semi
190;180;4.5;Semi
191;180;2.65;Semi
192;180;3.11;Semi
193;135;1.3;Semi
194;180;1.8;Semi
195;180;2.2;Semi
196;180;2.62;Semi
197;135;3;Semi
198;180;3.6;Semi
19A;180;5;Semi
19C;288;3;Semi
19D;180;2.39;Semi
19E;180;4.8;Semi
200;180;4;Semi
201;0;6;Semi
202;180;2.59;Semi
203;180;2.5;Semi
204;180;5;Semi
205;180;5;Semi
206;180;5;Semi
207;135;2.62;Semi
208;180;2.6;Semi
209;180;4.8;Semi
20A;135;4;Semi
20E;0;1.9;Semi
210;135;2.6;Semi
211;90;0.64;Semi
212;135;0.8;Semi
214;180;2.65;Semi
215;180;2.7;Semi
216;180;4.24;Semi
217;180;2.7;Semi
218;180;2.6;Semi
219;288;3;Semi
21A;135;2.62;Semi
21C;180;7;Semi
21D;180;3.7;Semi
220;180;4.8;Semi
221;180;4.8;Semi
222;180;6.48;Semi
223;180;2.62;Semi
224;135;6.46;Semi
225;180;7.62;Semi
226;180;7.73;Semi
227;135;2;Semi
228;180;3.5;Semi
229;135;2.4;Semi
22B;180;2.2;Semi
22C;180;2.2;Semi
22D;180;3.6;Semi
22E;135;0.6;Semi
230;180;2.2;Semi
231;180;2.6;Semi
232;180;2.2;Semi
233;135;1.6;Semi
234;135;1.9;Semi
235;180;2.97;Semi
236;135;1.9;Semi
237;135;1.6;Semi
238;135;1.9;Semi
239;135;2.99;Semi
23A;180;2;Semi
23B;180;2.2;Semi
240;180;3;Semi
241;180;2.3;Semi
242;135;1.6;Semi
243;180;3;Semi
244;180;4.8;Semi
245;180;3;Semi
246;180;3;Semi
247;180;3;Semi
